run_accession	study_accession	sample_accession	fastq_ftp
ERR1688193	PRJEB16057	SAMEA4506968	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/003/ERR1688193/ERR1688193.fastq.gz
ERR1688194	PRJEB16057	SAMEA4506969	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/004/ERR1688194/ERR1688194.fastq.gz
ERR1688198	PRJEB16057	SAMEA4506973	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/008/ERR1688198/ERR1688198.fastq.gz
ERR1688199	PRJEB16057	SAMEA4506974	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/009/ERR1688199/ERR1688199.fastq.gz
ERR1688200	PRJEB16057	SAMEA4506975	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/000/ERR1688200/ERR1688200.fastq.gz
ERR1688207	PRJEB16057	SAMEA4506982	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/007/ERR1688207/ERR1688207.fastq.gz
ERR1688208	PRJEB16057	SAMEA4506983	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/008/ERR1688208/ERR1688208.fastq.gz
ERR1688215	PRJEB16057	SAMEA4506990	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/005/ERR1688215/ERR1688215.fastq.gz
ERR1688224	PRJEB16057	SAMEA4506999	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/004/ERR1688224/ERR1688224.fastq.gz
ERR1688226	PRJEB16057	SAMEA4507001	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/006/ERR1688226/ERR1688226.fastq.gz
ERR1688228	PRJEB16057	SAMEA4507003	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/008/ERR1688228/ERR1688228.fastq.gz
ERR1688229	PRJEB16057	SAMEA4507004	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/009/ERR1688229/ERR1688229.fastq.gz
ERR1688230	PRJEB16057	SAMEA4507005	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/000/ERR1688230/ERR1688230.fastq.gz
ERR1688232	PRJEB16057	SAMEA4506928	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/002/ERR1688232/ERR1688232.fastq.gz
ERR1688237	PRJEB16057	SAMEA4506933	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/007/ERR1688237/ERR1688237.fastq.gz
ERR1688238	PRJEB16057	SAMEA4506934	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/008/ERR1688238/ERR1688238.fastq.gz
ERR1688254	PRJEB16057	SAMEA4506950	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/004/ERR1688254/ERR1688254.fastq.gz
ERR1688256	PRJEB16057	SAMEA4506952	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/006/ERR1688256/ERR1688256.fastq.gz
ERR1688257	PRJEB16057	SAMEA4506953	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/007/ERR1688257/ERR1688257.fastq.gz
ERR1688258	PRJEB16057	SAMEA4506954	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/008/ERR1688258/ERR1688258.fastq.gz
ERR1688261	PRJEB16057	SAMEA4506957	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/001/ERR1688261/ERR1688261.fastq.gz
ERR1688262	PRJEB16057	SAMEA4506958	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/002/ERR1688262/ERR1688262.fastq.gz
ERR1688268	PRJEB16057	SAMEA4506964	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/008/ERR1688268/ERR1688268.fastq.gz
ERR1688271	PRJEB16057	SAMEA4506967	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/001/ERR1688271/ERR1688271.fastq.gz
ERR1688272	PRJEB16057	SAMEA4506968	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/002/ERR1688272/ERR1688272.fastq.gz
ERR1688273	PRJEB16057	SAMEA4506969	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/003/ERR1688273/ERR1688273.fastq.gz
ERR1688275	PRJEB16057	SAMEA4506971	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/005/ERR1688275/ERR1688275.fastq.gz
ERR1688277	PRJEB16057	SAMEA4506973	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/007/ERR1688277/ERR1688277.fastq.gz
ERR1688279	PRJEB16057	SAMEA4506975	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/009/ERR1688279/ERR1688279.fastq.gz
ERR1688284	PRJEB16057	SAMEA4506980	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/004/ERR1688284/ERR1688284.fastq.gz
ERR1688287	PRJEB16057	SAMEA4506983	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/007/ERR1688287/ERR1688287.fastq.gz
ERR1688289	PRJEB16057	SAMEA4506985	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/009/ERR1688289/ERR1688289.fastq.gz
ERR1688296	PRJEB16057	SAMEA4506992	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/006/ERR1688296/ERR1688296.fastq.gz
ERR1688300	PRJEB16057	SAMEA4506996	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/000/ERR1688300/ERR1688300.fastq.gz
ERR1688305	PRJEB16057	SAMEA4507001	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/005/ERR1688305/ERR1688305.fastq.gz
ERR1688306	PRJEB16057	SAMEA4507002	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/006/ERR1688306/ERR1688306.fastq.gz
ERR1688309	PRJEB16057	SAMEA4507005	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/009/ERR1688309/ERR1688309.fastq.gz
ERR1688154	PRJEB16057	SAMEA4506929	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/004/ERR1688154/ERR1688154.fastq.gz
ERR1688156	PRJEB16057	SAMEA4506931	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/006/ERR1688156/ERR1688156.fastq.gz
ERR1688164	PRJEB16057	SAMEA4506939	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/004/ERR1688164/ERR1688164.fastq.gz
ERR1688165	PRJEB16057	SAMEA4506940	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/005/ERR1688165/ERR1688165.fastq.gz
ERR1688167	PRJEB16057	SAMEA4506942	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/007/ERR1688167/ERR1688167.fastq.gz
ERR1688177	PRJEB16057	SAMEA4506952	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/007/ERR1688177/ERR1688177.fastq.gz
ERR1688178	PRJEB16057	SAMEA4506953	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/008/ERR1688178/ERR1688178.fastq.gz
ERR1688181	PRJEB16057	SAMEA4506956	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/001/ERR1688181/ERR1688181.fastq.gz
ERR1688187	PRJEB16057	SAMEA4506962	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/007/ERR1688187/ERR1688187.fastq.gz
ERR1688191	PRJEB16057	SAMEA4506966	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/001/ERR1688191/ERR1688191.fastq.gz
ERR1688196	PRJEB16057	SAMEA4506971	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/006/ERR1688196/ERR1688196.fastq.gz
ERR1688203	PRJEB16057	SAMEA4506978	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/003/ERR1688203/ERR1688203.fastq.gz
ERR1688205	PRJEB16057	SAMEA4506980	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/005/ERR1688205/ERR1688205.fastq.gz
ERR1688209	PRJEB16057	SAMEA4506984	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/009/ERR1688209/ERR1688209.fastq.gz
ERR1688211	PRJEB16057	SAMEA4506986	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/001/ERR1688211/ERR1688211.fastq.gz
ERR1688212	PRJEB16057	SAMEA4506987	ftp.sra.ebi.ac.uk/vol1/fastq/ERR168/002/ERR1688212/ERR1688212.fastq.gz
