run_accession	study_accession	sample_accession	tax_id	scientific_name	library_name	library_layout	library_strategy	library_selection	submitted_ftp	sra_ftp
ERR1688248	PRJEB16057	SAMEA4506944	408170	human gut metagenome	10564.9D0DVCHL	SINGLE	OTHER	PCR	ftp.sra.ebi.ac.uk/vol1/run/ERR168/ERR1688248/10564.9D0DVCHL.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR168/008/ERR1688248
ERR1688249	PRJEB16057	SAMEA4506945	408170	human gut metagenome	10564.9DKW7WYN	SINGLE	OTHER	PCR	ftp.sra.ebi.ac.uk/vol1/run/ERR168/ERR1688249/10564.9DKW7WYN.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR168/009/ERR1688249
ERR1688250	PRJEB16057	SAMEA4506946	408170	human gut metagenome	10564.9PY3RYTB	SINGLE	OTHER	PCR	ftp.sra.ebi.ac.uk/vol1/run/ERR168/ERR1688250/10564.9PY3RYTB.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR168/000/ERR1688250
ERR1688260	PRJEB16057	SAMEA4506956	408170	human gut metagenome	10564.CE3XUVX2	SINGLE	OTHER	PCR	ftp.sra.ebi.ac.uk/vol1/run/ERR168/ERR1688260/10564.CE3XUVX2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR168/000/ERR1688260
ERR1688266	PRJEB16057	SAMEA4506962	408170	human gut metagenome	10564.DMEOOJFG	SINGLE	OTHER	PCR	ftp.sra.ebi.ac.uk/vol1/run/ERR168/ERR1688266/10564.DMEOOJFG.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR168/006/ERR1688266
ERR1688267	PRJEB16057	SAMEA4506963	408170	human gut metagenome	10564.DZ6T2E56	SINGLE	OTHER	PCR	ftp.sra.ebi.ac.uk/vol1/run/ERR168/ERR1688267/10564.DZ6T2E56.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR168/007/ERR1688267
ERR1688276	PRJEB16057	SAMEA4506972	408170	human gut metagenome	10564.KIZIOL89	SINGLE	OTHER	PCR	ftp.sra.ebi.ac.uk/vol1/run/ERR168/ERR1688276/10564.KIZIOL89.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR168/006/ERR1688276
ERR1688278	PRJEB16057	SAMEA4506974	408170	human gut metagenome	10564.LE2JYPJ8	SINGLE	OTHER	PCR	ftp.sra.ebi.ac.uk/vol1/run/ERR168/ERR1688278/10564.LE2JYPJ8.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR168/008/ERR1688278
ERR1688282	PRJEB16057	SAMEA4506978	408170	human gut metagenome	10564.N6YWXQDS	SINGLE	OTHER	PCR	ftp.sra.ebi.ac.uk/vol1/run/ERR168/ERR1688282/10564.N6YWXQDS.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR168/002/ERR1688282
ERR1688292	PRJEB16057	SAMEA4506988	408170	human gut metagenome	10564.PZDRX7N4	SINGLE	OTHER	PCR	ftp.sra.ebi.ac.uk/vol1/run/ERR168/ERR1688292/10564.PZDRX7N4.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR168/002/ERR1688292
