Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,case,Center Name,collection_date,common_name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),Experiment,geo_loc_name_country,geo_loc_name_country_continent,geographic_location_(country_and/or_sea),Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,organism,Platform,ReleaseDate,create_date,version,Sample Name,sample_type,Scientific_Name,SRA Study
ERR13060119,AMPLICON,220,29942680,PRJEB39834,SAMEA115537851,22761489,07,MEDICAL UNIVERSITY GRAZ,2019,human,public,"run.zq,sra,fastq","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",2024-05-07,2024-05-07,ERX12431860,Austria,Europe,Austria,Ion Torrent Proton,,SINGLE,PCR,METAGENOMIC,Homo sapiens,Homo sapiens,ION_TORRENT,2024-07-18T00:00:00Z,2024-07-24T02:18:00Z,1,K9403-44,patient,Homo sapiens,ERP123398
ERR13060124,AMPLICON,282,16924683,PRJEB39834,SAMEA115537856,13060136,07,MEDICAL UNIVERSITY GRAZ,2019,human,public,"fastq,run.zq,sra","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",2024-05-07,2024-05-07,ERX12431865,Austria,Europe,Austria,Ion Torrent Proton,,SINGLE,PCR,METAGENOMIC,Homo sapiens,Homo sapiens,ION_TORRENT,2024-07-18T00:00:00Z,2024-07-23T20:07:00Z,1,K9403-54,patient,Homo sapiens,ERP123398
ERR13060125,AMPLICON,278,222354136,PRJEB39834,SAMEA115537857,169158875,07,MEDICAL UNIVERSITY GRAZ,2019,human,public,"sra,run.zq,fastq","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",2024-05-07,2024-05-07,ERX12431866,Austria,Europe,Austria,Ion Torrent Proton,,SINGLE,PCR,METAGENOMIC,Homo sapiens,Homo sapiens,ION_TORRENT,2024-07-18T00:00:00Z,2024-07-24T02:17:00Z,1,K9403-58,patient,Homo sapiens,ERP123398
ERR13060131,AMPLICON,277,22126270,PRJEB39834,SAMEA115537863,17146938,07,MEDICAL UNIVERSITY GRAZ,2019,human,public,"fastq,run.zq,sra","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",2024-05-07,2024-05-07,ERX12431872,Austria,Europe,Austria,Ion Torrent Proton,,SINGLE,PCR,METAGENOMIC,Homo sapiens,Homo sapiens,ION_TORRENT,2024-07-18T00:00:00Z,2024-07-23T20:24:00Z,1,K9403-77,patient,Homo sapiens,ERP123398
ERR13060165,AMPLICON,260,29865566,PRJEB39834,SAMEA115537897,22201353,04,MEDICAL UNIVERSITY GRAZ,2014,human,public,"run.zq,fastq,sra","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",2024-05-07,2024-05-07,ERX12431906,Austria,Europe,Austria,Ion Torrent Proton,,SINGLE,PCR,METAGENOMIC,Homo sapiens,Homo sapiens,ION_TORRENT,2024-07-18T00:00:00Z,2024-07-23T23:27:00Z,1,K5175-72,patient,Homo sapiens,ERP123398
ERR13059989,AMPLICON,260,24076551,PRJEB39834,SAMEA115537721,17978636,05,MEDICAL UNIVERSITY GRAZ,2019,human,public,"run.zq,sra,fastq","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",2024-05-07,2024-05-07,ERX12431730,Austria,Europe,Austria,Ion Torrent Proton,,SINGLE,PCR,METAGENOMIC,Homo sapiens,Homo sapiens,ION_TORRENT,2024-07-18T00:00:00Z,2024-07-25T13:23:00Z,1,K6409-89,patient,Homo sapiens,ERP123398
ERR13060080,AMPLICON,278,13116197,PRJEB39834,SAMEA115537812,10387237,08,MEDICAL UNIVERSITY GRAZ,2019,human,public,"run.zq,fastq,sra","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",2024-05-07,2024-05-07,ERX12431821,Austria,Europe,Austria,Ion Torrent Proton,,SINGLE,PCR,METAGENOMIC,Homo sapiens,Homo sapiens,ION_TORRENT,2024-07-18T00:00:00Z,2024-07-25T13:29:00Z,1,K8073-126,patient,Homo sapiens,ERP123398
ERR13060142,AMPLICON,269,14074470,PRJEB39834,SAMEA115537874,10471292,04,MEDICAL UNIVERSITY GRAZ,2014,human,public,"sra,fastq,run.zq","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",2024-05-07,2024-05-07,ERX12431883,Austria,Europe,Austria,Ion Torrent Proton,,SINGLE,PCR,METAGENOMIC,Homo sapiens,Homo sapiens,ION_TORRENT,2024-07-18T00:00:00Z,2024-07-25T13:21:00Z,1,K5175-129,patient,Homo sapiens,ERP123398
ERR13060153,AMPLICON,244,12228903,PRJEB39834,SAMEA115537885,9406160,04,MEDICAL UNIVERSITY GRAZ,2014,human,public,"sra,run.zq,fastq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",2024-05-07,2024-05-07,ERX12431894,Austria,Europe,Austria,Ion Torrent Proton,,SINGLE,PCR,METAGENOMIC,Homo sapiens,Homo sapiens,ION_TORRENT,2024-07-18T00:00:00Z,2024-07-26T02:03:00Z,1,K5175-36,donor,Homo sapiens,ERP123398
ERR13060160,AMPLICON,238,46556170,PRJEB39834,SAMEA115537892,34899908,04,MEDICAL UNIVERSITY GRAZ,2014,human,public,"fastq,run.zq,sra","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",2024-05-07,2024-05-07,ERX12431901,Austria,Europe,Austria,Ion Torrent Proton,,SINGLE,PCR,METAGENOMIC,Homo sapiens,Homo sapiens,ION_TORRENT,2024-07-18T00:00:00Z,2024-07-25T13:31:00Z,1,K5175-67,donor,Homo sapiens,ERP123398
