Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,collection_date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,host_strain,Instrument,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,replicate,create_date,version,Sample Name,SRA Study,treatment
SRR10948098,AMPLICON,552,42298551,PRJNA602524,SAMN13898103,Metagenome or environmental,26105737,UC DAVIS,NA,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7615162,uncalculated,uncalculated,NA,mouse,BALB/c,Illumina MiSeq,NA,Post235,PAIRED,PCR,GENOMIC,mouse metagenome,ILLUMINA,2021-02-01T00:00:00Z,4,2020-01-22T00:49:00Z,1,Post235,SRP243834,Post.HSCT.LFD
SRR10948099,AMPLICON,552,42164016,PRJNA602524,SAMN13898102,Metagenome or environmental,26033789,UC DAVIS,NA,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7615161,uncalculated,uncalculated,NA,mouse,BALB/c,Illumina MiSeq,NA,Post234,PAIRED,PCR,GENOMIC,mouse metagenome,ILLUMINA,2021-02-01T00:00:00Z,3,2020-01-22T00:49:00Z,1,Post234,SRP243834,Post.HSCT.LFD
SRR10948100,AMPLICON,552,40247401,PRJNA602524,SAMN13898101,Metagenome or environmental,24546596,UC DAVIS,NA,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7615160,uncalculated,uncalculated,NA,mouse,BALB/c,Illumina MiSeq,NA,Post233,PAIRED,PCR,GENOMIC,mouse metagenome,ILLUMINA,2021-02-01T00:00:00Z,2,2020-01-22T00:49:00Z,1,Post233,SRP243834,Post.HSCT.LFD
SRR10948101,AMPLICON,552,69094606,PRJNA602524,SAMN13898100,Metagenome or environmental,42561847,UC DAVIS,NA,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7615159,uncalculated,uncalculated,NA,mouse,BALB/c,Illumina MiSeq,NA,Post232,PAIRED,PCR,GENOMIC,mouse metagenome,ILLUMINA,2021-02-01T00:00:00Z,1,2020-01-22T00:49:00Z,1,Post232,SRP243834,Post.HSCT.LFD
SRR10948102,AMPLICON,552,80914294,PRJNA602524,SAMN13898099,Metagenome or environmental,49378847,UC DAVIS,NA,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7615158,uncalculated,uncalculated,NA,mouse,C57BL/6,Illumina MiSeq,NA,GVHD.32.3.4,PAIRED,PCR,GENOMIC,mouse metagenome,ILLUMINA,2021-02-01T00:00:00Z,4,2020-01-22T00:49:00Z,1,GVHD.32.3.4,SRP243834,DIO.Abx
SRR10948103,AMPLICON,552,66579097,PRJNA602524,SAMN13898081,Metagenome or environmental,42419289,UC DAVIS,NA,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7615157,uncalculated,uncalculated,NA,mouse,BALB/c,Illumina MiSeq,NA,GVHD.27.Lean.3,PAIRED,PCR,GENOMIC,mouse metagenome,ILLUMINA,2021-02-01T00:00:00Z,3,2020-01-22T00:49:00Z,1,GVHD.27.Lean.3,SRP243834,Lean
SRR10948104,AMPLICON,552,85834305,PRJNA602524,SAMN13898098,Metagenome or environmental,51592716,UC DAVIS,NA,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7615156,uncalculated,uncalculated,NA,mouse,C57BL/6,Illumina MiSeq,NA,GVHD.32.3.3,PAIRED,PCR,GENOMIC,mouse metagenome,ILLUMINA,2021-02-01T00:00:00Z,3,2020-01-22T00:49:00Z,1,GVHD.32.3.3,SRP243834,DIO.Abx
SRR10948105,AMPLICON,552,77020305,PRJNA602524,SAMN13898097,Metagenome or environmental,46288439,UC DAVIS,NA,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7615155,uncalculated,uncalculated,NA,mouse,C57BL/6,Illumina MiSeq,NA,GVHD.32.3.2,PAIRED,PCR,GENOMIC,mouse metagenome,ILLUMINA,2021-02-01T00:00:00Z,2,2020-01-22T00:49:00Z,1,GVHD.32.3.2,SRP243834,DIO.Abx
SRR10948106,AMPLICON,552,95051046,PRJNA602524,SAMN13898096,Metagenome or environmental,56430861,UC DAVIS,NA,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7615154,uncalculated,uncalculated,NA,mouse,C57BL/6,Illumina MiSeq,NA,GVHD.32.3.1,PAIRED,PCR,GENOMIC,mouse metagenome,ILLUMINA,2021-02-01T00:00:00Z,1,2020-01-22T00:49:00Z,1,GVHD.32.3.1,SRP243834,DIO.Abx
SRR10948107,AMPLICON,552,78709491,PRJNA602524,SAMN13898095,Metagenome or environmental,47595270,UC DAVIS,NA,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7615153,uncalculated,uncalculated,NA,mouse,C57BL/6,Illumina MiSeq,NA,GVHD.32.2.4,PAIRED,PCR,GENOMIC,mouse metagenome,ILLUMINA,2021-02-01T00:00:00Z,4,2020-01-22T00:49:00Z,1,GVHD.32.2.4,SRP243834,DIO
SRR10948108,AMPLICON,552,77422306,PRJNA602524,SAMN13898094,Metagenome or environmental,46839704,UC DAVIS,NA,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7615152,uncalculated,uncalculated,NA,mouse,C57BL/6,Illumina MiSeq,NA,GVHD.32.2.3,PAIRED,PCR,GENOMIC,mouse metagenome,ILLUMINA,2021-02-01T00:00:00Z,3,2020-01-22T00:49:00Z,1,GVHD.32.2.3,SRP243834,DIO
SRR10948109,AMPLICON,552,93531116,PRJNA602524,SAMN13898093,Metagenome or environmental,56295706,UC DAVIS,NA,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7615151,uncalculated,uncalculated,NA,mouse,C57BL/6,Illumina MiSeq,NA,GVHD.32.2.2,PAIRED,PCR,GENOMIC,mouse metagenome,ILLUMINA,2021-02-01T00:00:00Z,2,2020-01-22T00:49:00Z,1,GVHD.32.2.2,SRP243834,DIO
SRR10948110,AMPLICON,552,89016194,PRJNA602524,SAMN13898092,Metagenome or environmental,53293312,UC DAVIS,NA,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7615150,uncalculated,uncalculated,NA,mouse,C57BL/6,Illumina MiSeq,NA,GVHD.32.2.1,PAIRED,PCR,GENOMIC,mouse metagenome,ILLUMINA,2021-02-01T00:00:00Z,1,2020-01-22T00:49:00Z,1,GVHD.32.2.1,SRP243834,DIO
SRR10948111,AMPLICON,552,80042127,PRJNA602524,SAMN13898091,Metagenome or environmental,50690227,UC DAVIS,NA,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7615149,uncalculated,uncalculated,NA,mouse,C57BL/6,Illumina MiSeq,NA,GVHD.32.1.4,PAIRED,PCR,GENOMIC,mouse metagenome,ILLUMINA,2021-02-01T00:00:00Z,4,2020-01-22T00:49:00Z,1,GVHD.32.1.4,SRP243834,Control
SRR10948112,AMPLICON,552,88342537,PRJNA602524,SAMN13898090,Metagenome or environmental,52680953,UC DAVIS,NA,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7615148,uncalculated,uncalculated,NA,mouse,C57BL/6,Illumina MiSeq,NA,GVHD.32.1.3,PAIRED,PCR,GENOMIC,mouse metagenome,ILLUMINA,2021-02-01T00:00:00Z,3,2020-01-22T00:49:00Z,1,GVHD.32.1.3,SRP243834,Control
SRR10948113,AMPLICON,552,91539979,PRJNA602524,SAMN13898089,Metagenome or environmental,54788071,UC DAVIS,NA,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7615147,uncalculated,uncalculated,NA,mouse,C57BL/6,Illumina MiSeq,NA,GVHD.32.1.2,PAIRED,PCR,GENOMIC,mouse metagenome,ILLUMINA,2021-02-01T00:00:00Z,2,2020-01-22T00:49:00Z,1,GVHD.32.1.2,SRP243834,Control
SRR10948114,AMPLICON,552,81649806,PRJNA602524,SAMN13898080,Metagenome or environmental,48685154,UC DAVIS,NA,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7615146,uncalculated,uncalculated,NA,mouse,BALB/c,Illumina MiSeq,NA,GVHD.27.Lean.2,PAIRED,PCR,GENOMIC,mouse metagenome,ILLUMINA,2021-02-01T00:00:00Z,2,2020-01-22T00:49:00Z,1,GVHD.27.Lean.2,SRP243834,Lean
SRR10948115,AMPLICON,552,80050535,PRJNA602524,SAMN13898079,Metagenome or environmental,47839549,UC DAVIS,NA,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX7615145,uncalculated,uncalculated,NA,mouse,BALB/c,Illumina MiSeq,NA,GVHD.27.Lean.1,PAIRED,PCR,GENOMIC,mouse metagenome,ILLUMINA,2021-02-01T00:00:00Z,1,2020-01-22T00:49:00Z,1,GVHD.27.Lean.1,SRP243834,Lean
