Feature ID	Taxon
MJ006-2-barcode58-umi170693bins-ubs-3	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides_H_857956; Bacteroides_H_857956 salyersiae
MJ006-1-barcode35-umi38914bins-ubs-9	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides_H_857956; NA
RS-GCF-901212445.1-NZ-CAAKNW010000110.1	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides_H_857956; Bacteroides_H_857956 fragilis
MJ010-1-barcode30-umi129190bins-ubs-4	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides_H_857956; NA
MJ006-1-barcode48-umi107208bins-ubs-4	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides_H_857956; Bacteroides_H_857956 fragilis
RS-GCF-019132155.1-NZ-JAHONJ010000125.1	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Phocaeicola_A; Phocaeicola_A vulgatus
RS-GCF-003458385.1-NZ-QRUD01000002.1	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Phocaeicola_A; Phocaeicola_A vulgatus
RS-GCF-002796815.1-NZ-PHJG01000100.1	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Phocaeicola_A; NA
MJ006-2-barcode62-umi138295bins-ubs-3	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Phocaeicola_A; NA
MJ006-2-barcode63-umi107132bins-ubs-5	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Phocaeicola_A; Phocaeicola_A vulgatus
RS-GCF-019130915.1-NZ-JAHOLF010000125.1	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Phocaeicola_A; Phocaeicola_A vulgatus
RS-GCF-001404375.1-NZ-CYZI01000001.1	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Phocaeicola_A; Phocaeicola_A vulgatus
MJ006-1-barcode28-umi164319bins-ubs-3	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Phocaeicola_A; Phocaeicola_A vulgatus
RS-GCF-000273295.1-NZ-JH724287.1	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Phocaeicola_A; Phocaeicola_A vulgatus
MJ006-2-barcode67-umi62352bins-ubs-7	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Phocaeicola_A; Phocaeicola_A dorei
MJ006-2-barcode65-umi95936bins-ubs-5	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Phocaeicola_A; Phocaeicola_A dorei
GB-GCA-008669045.1-RQAJ01000001.1	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Phocaeicola_A; Phocaeicola_A dorei
RS-GCF-015551785.1-NZ-JADNDJ010000070.1	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Phocaeicola_A; Phocaeicola_A dorei
RS-GCF-004347525.1-NZ-SLTU01000001.1	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Phocaeicola_A; NA
AY126616	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Phocaeicola_A; Phocaeicola_A massiliensis
MJ006-2-barcode72-umi161506bins-ubs-3	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Phocaeicola_A; Phocaeicola_A massiliensis
MJ006-2-barcode65-umi181149bins-ubs-3	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Phocaeicola_A; Phocaeicola_A massiliensis
MJ006-1-barcode46-umi129937bins-ubs-3	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Phocaeicola_A; Phocaeicola_A massiliensis
MJ006-2-barcode72-umi112070bins-ubs-5	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Phocaeicola_A; Phocaeicola_A massiliensis
MJ010-1-barcode30-umi161966bins-ubs-3	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Phocaeicola_A; Phocaeicola_A sartorii
RS-GCF-004793835.1-NZ-SRYJ01000091.1	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Phocaeicola_A; Phocaeicola_A sartorii
MJ030-1-barcode26-umi99870bins-ubs-3	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Phocaeicola_A; NA
MJ006-2-barcode69-umi141347bins-ubs-3	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Phocaeicola_A; Phocaeicola_A coprophilus
AB260026	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Phocaeicola_A; Phocaeicola_A coprophilus
MJ006-1-barcode39-umi155668bins-ubs-3	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Phocaeicola_A; Phocaeicola_A plebeius
MJ006-1-barcode30-umi230270bins-ubs-3	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Phocaeicola_A; Phocaeicola_A plebeius
MJ006-1-barcode30-umi155316bins-ubs-3	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Phocaeicola_A; Phocaeicola_A plebeius
RS-GCF-003458915.1-NZ-QRTR01000015.1	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Phocaeicola_A; Phocaeicola_A plebeius
MJ006-2-barcode54-umi104695bins-ubs-4	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Phocaeicola_A; Phocaeicola_A coprocola
MJ006-1-barcode39-umi144965bins-ubs-3	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Barnesiellaceae; Barnesiella_B; Barnesiella_B propionica
MJ006-1-barcode30-umi126369bins-ubs-3	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Barnesiellaceae; Barnesiella_B; Barnesiella_B intestinihominis
MJ006-2-barcode62-umi182887bins-ubs-3	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Barnesiellaceae; Barnesiella_B; Barnesiella_B intestinihominis
MJ006-2-barcode59-umi168530bins-ubs-3	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Barnesiellaceae; Barnesiella_B; Barnesiella_B intestinihominis
RS-GCF-015549505.1-NZ-JADMYZ010000028.1	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Barnesiellaceae; Barnesiella_B; Barnesiella_B intestinihominis
MJ006-2-barcode66-umi172896bins-ubs-3	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; UBA11471; Caccoplasma; 
MJ006-1-barcode30-umi109917bins-ubs-4	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Coprobacteraceae; Coprobacter; Coprobacter fastidiosus
MJ006-1-barcode26-umi98591bins-ubs-4	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Coprobacteraceae; Coprobacter; Coprobacter fastidiosus
MJ006-1-barcode26-umi156172bins-ubs-3	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Coprobacteraceae; Coprobacter; Coprobacter fastidiosus
MJ006-2-barcode61-umi186000bins-ubs-4	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Coprobacteraceae; Coprobacter; Coprobacter fastidiosus
MJ006-2-barcode73-umi141562bins-ubs-3	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Coprobacteraceae; Coprobacter; Coprobacter secundus
GB-GCA-018383075.1-JAGZOU010000022.1	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Muribaculaceae; Limisoma; Limisoma sp900548875
GB-GCA-004801755.1-SSTL01000077.1	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Muribaculaceae; Lepagella; Lepagella muris_A
GB-GCA-011960395.1-BLMH01000001.1	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Muribaculaceae; Lepagella; Lepagella muris_A
GB-GCA-003762665.1-RIBI01000013.1	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Muribaculaceae; Muribaculum; Muribaculum gordoncarteri
GB-GCA-003762695.1-RIBH01000084.1	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Muribaculaceae; Muribaculum; Muribaculum intestinale
RS-GCF-910576605.1-NZ-CAJTJN010000098.1	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Muribaculaceae; Muribaculum; Muribaculum intestinale
MG970328	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Muribaculaceae; Duncaniella; Duncaniella muris
GB-GCA-009911555.1-QWKE01000141.1	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Muribaculaceae; Duncaniella; Duncaniella muris
RS-GCF-004766125.1-NZ-SJSA01000001.1--4	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Muribaculaceae; Duncaniella; Duncaniella freteri
MG970331	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Muribaculaceae; Paramuribaculum; Paramuribaculum intestinale
RS-GCF-003024815.1-NZ-PUBV01000095.1	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Muribaculaceae; Paramuribaculum; Paramuribaculum intestinale
RS-GCF-015667355.1-NZ-JADPDX010000086.1	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Tannerellaceae; Parabacteroides_B_862066; Parabacteroides_B_862066 distasonis
RS-GCF-004793765.1-NZ-SRYM01000096.1	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Tannerellaceae; Parabacteroides_B_862066; Parabacteroides_B_862066 distasonis
