Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study
SRR28984068,AMPLICON,602,56085330,PRJNA1109929,SAMN41307322,Metagenome or environmental,30263674,"THE INSTITUTE OF MEDICAL SCIENCE, THE UNIVERSITY OF TOKYO",2021,public,"sra,run.zq,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX24513128,Japan,Asia,Japan,Homo sapiens,Illumina MiSeq,feces 140,34.646870 N 135.5067002 E,OCUBMT021_pre,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2024-05-09T00:00:00Z,2024-05-09T21:50:00Z,1,OCUBMT021_pre,SRP506877
SRR28984069,AMPLICON,599,38760199,PRJNA1109929,SAMN41307321,Metagenome or environmental,20503929,"THE INSTITUTE OF MEDICAL SCIENCE, THE UNIVERSITY OF TOKYO",2021,public,"sra,run.zq,fastq","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX24513127,Japan,Asia,Japan,Homo sapiens,Illumina MiSeq,feces 139,34.646870 N 135.5067002 E,OCUBMT021_day7,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2024-05-09T00:00:00Z,2024-05-09T21:50:00Z,1,OCUBMT021_day7,SRP506877
SRR28984070,AMPLICON,602,67116980,PRJNA1109929,SAMN41307320,Metagenome or environmental,36421622,"THE INSTITUTE OF MEDICAL SCIENCE, THE UNIVERSITY OF TOKYO",2021,public,"fastq,sra,run.zq","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX24513126,Japan,Asia,Japan,Homo sapiens,Illumina MiSeq,feces 138,34.646870 N 135.5067002 E,OCUBMT021_day49,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2024-05-09T00:00:00Z,2024-05-09T21:50:00Z,1,OCUBMT021_day49,SRP506877
SRR28984071,AMPLICON,602,67478782,PRJNA1109929,SAMN41307319,Metagenome or environmental,38179228,"THE INSTITUTE OF MEDICAL SCIENCE, THE UNIVERSITY OF TOKYO",2021,public,"run.zq,sra,fastq","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX24513125,Japan,Asia,Japan,Homo sapiens,Illumina MiSeq,feces 137,34.646870 N 135.5067002 E,OCUBMT021_day42,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2024-05-09T00:00:00Z,2024-05-09T21:50:00Z,1,OCUBMT021_day42,SRP506877
SRR28984072,AMPLICON,602,73644466,PRJNA1109929,SAMN41307318,Metagenome or environmental,42660418,"THE INSTITUTE OF MEDICAL SCIENCE, THE UNIVERSITY OF TOKYO",2021,public,"run.zq,fastq,sra","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX24513124,Japan,Asia,Japan,Homo sapiens,Illumina MiSeq,feces 136,34.646870 N 135.5067002 E,OCUBMT021_day35,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2024-05-09T00:00:00Z,2024-05-09T21:50:00Z,1,OCUBMT021_day35,SRP506877
SRR28984073,AMPLICON,602,73264604,PRJNA1109929,SAMN41307317,Metagenome or environmental,42955565,"THE INSTITUTE OF MEDICAL SCIENCE, THE UNIVERSITY OF TOKYO",2021,public,"sra,run.zq,fastq","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX24513123,Japan,Asia,Japan,Homo sapiens,Illumina MiSeq,feces 135,34.646870 N 135.5067002 E,OCUBMT021_day28,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2024-05-09T00:00:00Z,2024-05-09T21:50:00Z,1,OCUBMT021_day28,SRP506877
SRR28984074,AMPLICON,602,69229398,PRJNA1109929,SAMN41307316,Metagenome or environmental,39982043,"THE INSTITUTE OF MEDICAL SCIENCE, THE UNIVERSITY OF TOKYO",2021,public,"sra,run.zq,fastq","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX24513122,Japan,Asia,Japan,Homo sapiens,Illumina MiSeq,feces 134,34.646870 N 135.5067002 E,OCUBMT021_day21,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2024-05-09T00:00:00Z,2024-05-09T21:50:00Z,1,OCUBMT021_day21,SRP506877
SRR28984075,AMPLICON,602,66000872,PRJNA1109929,SAMN41307315,Metagenome or environmental,39074038,"THE INSTITUTE OF MEDICAL SCIENCE, THE UNIVERSITY OF TOKYO",2021,public,"run.zq,sra,fastq","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX24513121,Japan,Asia,Japan,Homo sapiens,Illumina MiSeq,feces 133,34.646870 N 135.5067002 E,OCUBMT021_day0,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2024-05-09T00:00:00Z,2024-05-09T21:50:00Z,1,OCUBMT021_day0,SRP506877
SRR28984076,AMPLICON,602,51614878,PRJNA1109929,SAMN41307314,Metagenome or environmental,28276138,"THE INSTITUTE OF MEDICAL SCIENCE, THE UNIVERSITY OF TOKYO",2021,public,"run.zq,sra,fastq","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX24513120,Japan,Asia,Japan,Homo sapiens,Illumina MiSeq,feces 132,34.646870 N 135.5067002 E,OCUBMT020_pre,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2024-05-09T00:00:00Z,2024-05-09T21:50:00Z,1,OCUBMT020_pre,SRP506877
SRR28984077,AMPLICON,602,70831320,PRJNA1109929,SAMN41307313,Metagenome or environmental,38794057,"THE INSTITUTE OF MEDICAL SCIENCE, THE UNIVERSITY OF TOKYO",2021,public,"run.zq,fastq,sra","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX24513119,Japan,Asia,Japan,Homo sapiens,Illumina MiSeq,feces 131,34.646870 N 135.5067002 E,OCUBMT020_day98,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2024-05-09T00:00:00Z,2024-05-09T21:50:00Z,1,OCUBMT020_day98,SRP506877
SRR28984078,AMPLICON,601,26065471,PRJNA1109929,SAMN41307196,Metagenome or environmental,13660517,"THE INSTITUTE OF MEDICAL SCIENCE, THE UNIVERSITY OF TOKYO",2021,public,"sra,fastq,run.zq","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX24513118,Japan,Asia,Japan,Homo sapiens,Illumina MiSeq,feces 14,34.646870 N 135.5067002 E,OCUBMT002_day56,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2024-05-09T00:00:00Z,2024-05-09T21:50:00Z,1,OCUBMT002_day56,SRP506877
SRR28984079,AMPLICON,602,79589818,PRJNA1109929,SAMN41307312,Metagenome or environmental,43658729,"THE INSTITUTE OF MEDICAL SCIENCE, THE UNIVERSITY OF TOKYO",2021,public,"sra,run.zq,fastq","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX24513117,Japan,Asia,Japan,Homo sapiens,Illumina MiSeq,feces 130,34.646870 N 135.5067002 E,OCUBMT020_day91,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2024-05-09T00:00:00Z,2024-05-09T21:51:00Z,1,OCUBMT020_day91,SRP506877
SRR28984080,AMPLICON,602,77223958,PRJNA1109929,SAMN41307311,Metagenome or environmental,41937176,"THE INSTITUTE OF MEDICAL SCIENCE, THE UNIVERSITY OF TOKYO",2021,public,"sra,fastq,run.zq","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX24513116,Japan,Asia,Japan,Homo sapiens,Illumina MiSeq,feces 129,34.646870 N 135.5067002 E,OCUBMT020_day84,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2024-05-09T00:00:00Z,2024-05-09T21:50:00Z,1,OCUBMT020_day84,SRP506877
